Feedback_ID,Text,Topic,Channel,Sentiment
FB01451,Proses pengajuan kredit terlalu lama,Transaction,Mobile App,negative
FB00213,ATM sering tidak bisa digunakan,Customer Service,Call Center,negative
FB00910,Customer service lambat merespons keluhan saya,ATM,Email,negative
FB01742,Aplikasi mobile banking sangat mudah digunakan,Savings,Branch,positive
FB01245,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB01697,Bagaimana cara mengganti PIN kartu,Customer Service,Branch,neutral
FB01183,Pelayanan customer service sangat cepat dan membantu,ATM,Call Center,positive
FB00362,Aplikasi mobile banking sangat mudah digunakan,Card,Branch,positive
FB01474,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB00679,Apa syarat pengajuan KPR,ATM,ATM,neutral
FB01622,Aplikasi mobile banking sangat mudah digunakan,Card,Branch,positive
FB01090,Customer service lambat merespons keluhan saya,Card,Email,negative
FB01988,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative
FB01848,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative
FB00988,Aplikasi banking sering error saat saya gunakan,Mobile Banking,Call Center,negative
FB01513,ATM sering tidak bisa digunakan,Mobile Banking,Call Center,negative
FB00112,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative
FB01488,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative
FB01454,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative
FB00384,Proses transaksi berjalan lancar dan cepat,Savings,ATM,positive
FB01396,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral
FB01055,Saya tidak puas dengan pelayanan bank,Card,Email,negative
FB00756,Saya ingin informasi tentang produk tabungan,ATM,Mobile App,neutral
FB00325,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive
FB01624,Proses transaksi berjalan lancar dan cepat,ATM,ATM,positive
FB00788,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative
FB00369,Transaksi saya gagal dan saldo belum kembali,Card,ATM,negative
FB01820,Saya ingin mengetahui jam operasional cabang,ATM,Email,neutral
FB00070,Customer service lambat merespons keluhan saya,ATM,Email,negative
FB00858,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral
FB01484,Proses transaksi berjalan lancar dan cepat,ATM,ATM,positive
FB01556,Saya ingin informasi tentang produk tabungan,Transaction,Mobile App,neutral
FB01692,Saya kecewa karena biaya administrasi terlalu tinggi,Card,Branch,negative
FB01475,Saya tidak puas dengan pelayanan bank,Card,Email,negative
FB01799,Apa syarat pengajuan KPR,ATM,ATM,neutral
FB00479,Apa syarat pengajuan KPR,Customer Service,ATM,neutral
FB00282,Aplikasi mobile banking sangat mudah digunakan,Transaction,Branch,positive
FB01648,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative
FB01557,Bagaimana cara mengganti PIN kartu,Customer Service,Branch,neutral
FB01730,Customer service lambat merespons keluhan saya,Mobile Banking,Email,negative
FB00211,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative
FB00298,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral
FB01885,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive
FB01834,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative
FB00652,Saya kecewa karena biaya administrasi terlalu tinggi,Mobile Banking,Branch,negative
FB01234,Aplikasi sulit digunakan dan sering logout,Transaction,ATM,negative
FB01503,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive
FB01932,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative
FB00917,Bagaimana cara mengganti PIN kartu,ATM,Branch,neutral
FB00994,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative
FB00430,Customer service lambat merespons keluhan saya,Customer Service,Email,negative
FB01371,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative
FB00240,Saya ingin mengetahui jam operasional cabang,Transaction,Email,neutral
FB00880,Saya ingin mengetahui jam operasional cabang,Card,Email,neutral
FB00621,Saya sangat puas dengan layanan bank ini,Card,Mobile App,positive
FB00257,Bagaimana cara mengganti PIN kartu,Card,Branch,neutral
FB00612,Saya kecewa karena biaya administrasi terlalu tinggi,Customer Service,Branch,negative
FB00545,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB00772,Saya kecewa karena biaya administrasi terlalu tinggi,Transaction,Branch,negative
FB01420,Saya ingin mengetahui jam operasional cabang,Savings,Email,neutral
FB01042,Aplikasi mobile banking sangat mudah digunakan,Savings,Branch,positive
FB01790,Customer service lambat merespons keluhan saya,Card,Email,negative
FB00760,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral
FB00383,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive
FB01104,Proses transaksi berjalan lancar dan cepat,Card,ATM,positive
FB00974,Aplikasi sulit digunakan dan sering logout,Mobile Banking,ATM,negative
FB00353,ATM sering tidak bisa digunakan,Customer Service,Call Center,negative
FB01606,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB01826,Petugas bank ramah dan profesional,Savings,Mobile App,positive
FB01037,Bagaimana cara mengganti PIN kartu,Mobile Banking,Branch,neutral
FB01108,Aplikasi banking sering error saat saya gunakan,Transaction,Call Center,negative
FB00495,Saya tidak puas dengan pelayanan bank,Card,Email,negative
FB00394,Aplikasi sulit digunakan dan sering logout,Transaction,ATM,negative
FB01547,Transfer berhasil tanpa masalah,ATM,Branch,positive
FB00465,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive
FB00887,Transfer berhasil tanpa masalah,Card,Branch,positive
FB01194,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB00367,Transfer berhasil tanpa masalah,Customer Service,Branch,positive
FB01894,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB01874,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative
FB00745,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive
FB00530,Customer service lambat merespons keluhan saya,Card,Email,negative
FB00803,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive
FB01224,Proses transaksi berjalan lancar dan cepat,Savings,ATM,positive
FB01979,Apa syarat pengajuan KPR,Card,ATM,neutral
FB01906,Petugas bank ramah dan profesional,Transaction,Mobile App,positive
FB01700,Saya ingin mengetahui jam operasional cabang,Savings,Email,neutral
FB01545,Saya suka fitur mobile banking yang lengkap,Card,Email,positive
FB01314,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative
FB00307,Transfer berhasil tanpa masalah,Savings,Branch,positive
FB01667,Transfer berhasil tanpa masalah,Mobile Banking,Branch,positive
FB00863,Pelayanan customer service sangat cepat dan membantu,Transaction,Call Center,positive
FB01567,Transfer berhasil tanpa masalah,Savings,Branch,positive
FB00531,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative
FB00655,Saya tidak puas dengan pelayanan bank,Loan,Email,negative
FB01260,Saya ingin mengetahui jam operasional cabang,ATM,Email,neutral
FB00234,Aplikasi sulit digunakan dan sering logout,Customer Service,ATM,negative
FB00121,Saya sangat puas dengan layanan bank ini,Transaction,Mobile App,positive
FB01698,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral
FB00950,Customer service lambat merespons keluhan saya,Card,Email,negative
FB00618,Saya ingin mengetahui limit kartu kredit,Transaction,Call Center,neutral
FB01179,Apa syarat pengajuan KPR,Customer Service,ATM,neutral
FB00308,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative
FB00136,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral
FB00555,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative
FB01674,Aplikasi sulit digunakan dan sering logout,Mobile Banking,ATM,negative
FB00584,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive
FB01641,Saya sangat puas dengan layanan bank ini,Customer Service,Mobile App,positive
FB00671,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative
FB00835,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative
FB00110,Customer service lambat merespons keluhan saya,Card,Email,negative
FB01165,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive
FB01960,Saya ingin mengetahui jam operasional cabang,ATM,Email,neutral
FB01465,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive
FB01729,Transaksi saya gagal dan saldo belum kembali,ATM,ATM,negative
FB01243,Pelayanan customer service sangat cepat dan membantu,Loan,Call Center,positive
FB00212,Saya kecewa karena biaya administrasi terlalu tinggi,Transaction,Branch,negative
FB01768,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative
FB01121,Saya sangat puas dengan layanan bank ini,Mobile Banking,Mobile App,positive
FB00680,Saya ingin mengetahui jam operasional cabang,Mobile Banking,Email,neutral
FB01951,Proses pengajuan kredit terlalu lama,Card,Mobile App,negative
FB01839,Apa syarat pengajuan KPR,Card,ATM,neutral
FB00412,Saya kecewa karena biaya administrasi terlalu tinggi,Savings,Branch,negative
FB01325,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive
FB00783,Pelayanan customer service sangat cepat dan membantu,Savings,Call Center,positive
FB01346,Petugas bank ramah dan profesional,Transaction,Mobile App,positive
FB00875,Saya tidak puas dengan pelayanan bank,ATM,Email,negative
FB01653,ATM sering tidak bisa digunakan,Mobile Banking,Call Center,negative
FB01279,Apa syarat pengajuan KPR,Card,ATM,neutral
FB00786,Petugas bank ramah dan profesional,Transaction,Mobile App,positive
FB01819,Apa syarat pengajuan KPR,Savings,ATM,neutral
FB01199,Apa syarat pengajuan KPR,Transaction,ATM,neutral
FB00808,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative
FB00713,ATM sering tidak bisa digunakan,Savings,Call Center,negative
FB01991,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative
FB01660,Saya ingin mengetahui jam operasional cabang,Mobile Banking,Email,neutral
FB01191,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative
FB01226,Petugas bank ramah dan profesional,Mobile Banking,Mobile App,positive
FB00603,Pelayanan customer service sangat cepat dan membantu,Mobile Banking,Call Center,positive
FB00271,Proses pengajuan kredit terlalu lama,Card,Mobile App,negative
FB01385,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive
FB00232,Saya kecewa karena biaya administrasi terlalu tinggi,Mobile Banking,Branch,negative
FB00050,Customer service lambat merespons keluhan saya,Mobile Banking,Email,negative
FB00463,Pelayanan customer service sangat cepat dan membantu,Mobile Banking,Call Center,positive
FB01106,Petugas bank ramah dan profesional,ATM,Mobile App,positive
FB00856,Saya ingin informasi tentang produk tabungan,Transaction,Mobile App,neutral
FB00694,Aplikasi sulit digunakan dan sering logout,Mobile Banking,ATM,negative
FB01552,Saya kecewa karena biaya administrasi terlalu tinggi,Card,Branch,negative
FB01873,ATM sering tidak bisa digunakan,Loan,Call Center,negative
FB00527,Transfer berhasil tanpa masalah,Transaction,Branch,positive
FB00174,Aplikasi sulit digunakan dan sering logout,Savings,ATM,negative
FB00721,Saya sangat puas dengan layanan bank ini,ATM,Mobile App,positive
FB00415,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative
FB00238,Saya ingin mengetahui limit kartu kredit,ATM,Call Center,neutral
FB01473,ATM sering tidak bisa digunakan,Customer Service,Call Center,negative
FB01336,Saya ingin informasi tentang produk tabungan,Savings,Mobile App,neutral
FB01064,Proses transaksi berjalan lancar dan cepat,ATM,ATM,positive
FB00024,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive
FB01767,Transfer berhasil tanpa masalah,Customer Service,Branch,positive
FB00064,Proses transaksi berjalan lancar dan cepat,Mobile Banking,ATM,positive
FB00290,Customer service lambat merespons keluhan saya,Customer Service,Email,negative
FB00189,Transaksi saya gagal dan saldo belum kembali,ATM,ATM,negative
FB00702,Aplikasi mobile banking sangat mudah digunakan,Transaction,Branch,positive
FB01815,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative
FB01138,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral
FB00355,Saya tidak puas dengan pelayanan bank,Card,Email,negative
FB00417,Bagaimana cara mengganti PIN kartu,Loan,Branch,neutral
FB01246,Petugas bank ramah dan profesional,ATM,Mobile App,positive
FB00931,Proses pengajuan kredit terlalu lama,ATM,Mobile App,negative
FB00197,Bagaimana cara mengganti PIN kartu,Mobile Banking,Branch,neutral
FB00580,Saya ingin mengetahui jam operasional cabang,Savings,Email,neutral
FB01135,Saya tidak puas dengan pelayanan bank,Mobile Banking,Email,negative
FB01814,Aplikasi sulit digunakan dan sering logout,Mobile Banking,ATM,negative
FB01935,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative
FB00434,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative
FB00101,Saya sangat puas dengan layanan bank ini,Customer Service,Mobile App,positive
FB01655,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative
FB00395,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative
FB01939,Apa syarat pengajuan KPR,ATM,ATM,neutral
FB00221,Saya sangat puas dengan layanan bank ini,Loan,Mobile App,positive
FB01676,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral
FB01498,Saya ingin mengetahui limit kartu kredit,ATM,Call Center,neutral
FB01785,Saya suka fitur mobile banking yang lengkap,ATM,Email,positive
FB00345,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive
FB01028,Aplikasi banking sering error saat saya gunakan,Savings,Call Center,negative
FB00889,Transaksi saya gagal dan saldo belum kembali,ATM,ATM,negative
FB01351,Proses pengajuan kredit terlalu lama,ATM,Mobile App,negative
FB00553,ATM sering tidak bisa digunakan,ATM,Call Center,negative
FB00744,Proses transaksi berjalan lancar dan cepat,Transaction,ATM,positive
FB01542,Aplikasi mobile banking sangat mudah digunakan,Transaction,Branch,positive
FB00539,Apa syarat pengajuan KPR,ATM,ATM,neutral
FB00907,Transfer berhasil tanpa masalah,Loan,Branch,positive
FB01395,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative
FB00116,Saya ingin informasi tentang produk tabungan,Loan,Mobile App,neutral
FB00830,Customer service lambat merespons keluhan saya,Loan,Email,negative
FB01938,Saya ingin mengetahui limit kartu kredit,Savings,Call Center,neutral
FB00809,Transaksi saya gagal dan saldo belum kembali,Loan,ATM,negative
FB01311,Proses pengajuan kredit terlalu lama,Transaction,Mobile App,negative
FB01005,Saya suka fitur mobile banking yang lengkap,Loan,Email,positive
FB00306,Petugas bank ramah dan profesional,Card,Mobile App,positive
FB01101,Saya sangat puas dengan layanan bank ini,Transaction,Mobile App,positive
FB00480,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral
FB01424,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive
FB01076,Saya ingin informasi tentang produk tabungan,Card,Mobile App,neutral
FB00571,Proses pengajuan kredit terlalu lama,Loan,Mobile App,negative
FB00619,Apa syarat pengajuan KPR,Customer Service,ATM,neutral
FB01898,Saya ingin mengetahui limit kartu kredit,Mobile Banking,Call Center,neutral
FB01266,Petugas bank ramah dan profesional,Savings,Mobile App,positive
FB00079,Apa syarat pengajuan KPR,Transaction,ATM,neutral
FB01912,Saya kecewa karena biaya administrasi terlalu tinggi,Mobile Banking,Branch,negative
FB00033,ATM sering tidak bisa digunakan,Card,Call Center,negative
FB01538,Saya ingin mengetahui limit kartu kredit,Card,Call Center,neutral
FB01034,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative
FB01563,Pelayanan customer service sangat cepat dan membantu,Transaction,Call Center,positive
FB00352,Saya kecewa karena biaya administrasi terlalu tinggi,Transaction,Branch,negative
FB00164,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive
FB00204,Proses transaksi berjalan lancar dan cepat,Mobile Banking,ATM,positive
FB01054,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB01365,Saya suka fitur mobile banking yang lengkap,ATM,Email,positive
FB01967,Transfer berhasil tanpa masalah,ATM,Branch,positive
FB00496,Saya ingin informasi tentang produk tabungan,Savings,Mobile App,neutral
FB01625,Saya suka fitur mobile banking yang lengkap,Mobile Banking,Email,positive
FB01966,Petugas bank ramah dan profesional,Savings,Mobile App,positive
FB01963,Pelayanan customer service sangat cepat dan membantu,Customer Service,Call Center,positive
FB00611,Proses pengajuan kredit terlalu lama,Transaction,Mobile App,negative
FB00433,ATM sering tidak bisa digunakan,Savings,Call Center,negative
FB01492,Saya kecewa karena biaya administrasi terlalu tinggi,Mobile Banking,Branch,negative
FB00219,Apa syarat pengajuan KPR,Transaction,ATM,neutral
FB01931,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative
FB01466,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB00631,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative
FB01382,Aplikasi mobile banking sangat mudah digunakan,Customer Service,Branch,positive
FB01302,Aplikasi mobile banking sangat mudah digunakan,ATM,Branch,positive
FB00060,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral
FB00299,Apa syarat pengajuan KPR,Card,ATM,neutral
FB01711,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative
FB00074,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative
FB00163,Pelayanan customer service sangat cepat dan membantu,Transaction,Call Center,positive
FB01275,Saya tidak puas dengan pelayanan bank,Mobile Banking,Email,negative
FB01594,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative
FB01434,Aplikasi sulit digunakan dan sering logout,Savings,ATM,negative
FB01613,ATM sering tidak bisa digunakan,Customer Service,Call Center,negative
FB00592,Saya kecewa karena biaya administrasi terlalu tinggi,Loan,Branch,negative
FB00317,Bagaimana cara mengganti PIN kartu,Transaction,Branch,neutral
FB00046,Petugas bank ramah dan profesional,Loan,Mobile App,positive
FB01720,Saya ingin mengetahui jam operasional cabang,Card,Email,neutral
FB01832,Saya kecewa karena biaya administrasi terlalu tinggi,Card,Branch,negative
FB00428,Aplikasi banking sering error saat saya gunakan,Mobile Banking,Call Center,negative
FB00582,Aplikasi mobile banking sangat mudah digunakan,Mobile Banking,Branch,positive
FB00077,Bagaimana cara mengganti PIN kartu,ATM,Branch,neutral
FB01917,Bagaimana cara mengganti PIN kartu,Savings,Branch,neutral
FB01415,Saya tidak puas dengan pelayanan bank,Mobile Banking,Email,negative
FB00781,Saya sangat puas dengan layanan bank ini,Loan,Mobile App,positive
FB01920,Saya ingin mengetahui jam operasional cabang,Transaction,Email,neutral
FB01174,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative
FB01320,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral
FB00938,Saya ingin mengetahui limit kartu kredit,ATM,Call Center,neutral
FB00031,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative
FB01092,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative
FB01616,Saya ingin informasi tentang produk tabungan,Savings,Mobile App,neutral
FB01230,Customer service lambat merespons keluhan saya,Card,Email,negative
FB00975,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative
FB01085,Saya suka fitur mobile banking yang lengkap,ATM,Email,positive
FB00515,Saya tidak puas dengan pelayanan bank,Loan,Email,negative
FB01551,Proses pengajuan kredit terlalu lama,Loan,Mobile App,negative
FB01568,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative
FB01811,Proses pengajuan kredit terlalu lama,Card,Mobile App,negative
FB01574,Aplikasi sulit digunakan dan sering logout,Savings,ATM,negative
FB00045,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive
FB01687,Transfer berhasil tanpa masalah,ATM,Branch,positive
FB00169,Transaksi saya gagal dan saldo belum kembali,Mobile Banking,ATM,negative
FB00304,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive
FB00991,Proses pengajuan kredit terlalu lama,Loan,Mobile App,negative
FB00556,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral
FB01925,Saya suka fitur mobile banking yang lengkap,ATM,Email,positive
FB00608,Aplikasi banking sering error saat saya gunakan,Savings,Call Center,negative
FB01619,Apa syarat pengajuan KPR,Transaction,ATM,neutral
FB00758,Saya ingin mengetahui limit kartu kredit,Transaction,Call Center,neutral
FB00439,Apa syarat pengajuan KPR,Card,ATM,neutral
FB00583,Pelayanan customer service sangat cepat dan membantu,Transaction,Call Center,positive
FB01519,Apa syarat pengajuan KPR,ATM,ATM,neutral
FB00528,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative
FB00343,Pelayanan customer service sangat cepat dan membantu,ATM,Call Center,positive
FB01737,Bagaimana cara mengganti PIN kartu,Mobile Banking,Branch,neutral
FB00368,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative
FB00186,Petugas bank ramah dan profesional,Loan,Mobile App,positive
FB01117,Bagaimana cara mengganti PIN kartu,Loan,Branch,neutral
FB01755,Saya tidak puas dengan pelayanan bank,Card,Email,negative
FB01426,Petugas bank ramah dan profesional,Card,Mobile App,positive
FB00301,Saya sangat puas dengan layanan bank ini,ATM,Mobile App,positive
FB01904,Proses transaksi berjalan lancar dan cepat,ATM,ATM,positive
FB00833,ATM sering tidak bisa digunakan,ATM,Call Center,negative
FB00544,Proses transaksi berjalan lancar dan cepat,Card,ATM,positive
FB01601,Saya sangat puas dengan layanan bank ini,Card,Mobile App,positive
FB00351,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative
FB01933,ATM sering tidak bisa digunakan,Mobile Banking,Call Center,negative
FB01511,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative
FB00979,Apa syarat pengajuan KPR,Savings,ATM,neutral
FB00176,Saya ingin informasi tentang produk tabungan,Mobile Banking,Mobile App,neutral
FB00483,Pelayanan customer service sangat cepat dan membantu,ATM,Call Center,positive
FB01413,ATM sering tidak bisa digunakan,Savings,Call Center,negative
FB01611,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative
FB00124,Proses transaksi berjalan lancar dan cepat,Card,ATM,positive
FB00600,Saya ingin mengetahui jam operasional cabang,Card,Email,neutral
FB01795,Saya tidak puas dengan pelayanan bank,Customer Service,Email,negative
FB01746,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB01379,Apa syarat pengajuan KPR,ATM,ATM,neutral
FB01186,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB00486,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive
FB00332,Saya kecewa karena biaya administrasi terlalu tinggi,Customer Service,Branch,negative
FB00789,Transaksi saya gagal dan saldo belum kembali,Card,ATM,negative
FB00195,Saya tidak puas dengan pelayanan bank,Savings,Email,negative
FB00638,Saya ingin mengetahui limit kartu kredit,Mobile Banking,Call Center,neutral
FB00472,Saya kecewa karena biaya administrasi terlalu tinggi,Customer Service,Branch,negative
FB01714,Aplikasi sulit digunakan dan sering logout,Savings,ATM,negative
FB00323,Pelayanan customer service sangat cepat dan membantu,Mobile Banking,Call Center,positive
FB01197,Bagaimana cara mengganti PIN kartu,ATM,Branch,neutral
FB00267,Transfer berhasil tanpa masalah,Mobile Banking,Branch,positive
FB01544,Proses transaksi berjalan lancar dan cepat,Loan,ATM,positive
FB01804,Proses transaksi berjalan lancar dan cepat,Card,ATM,positive
FB00068,Aplikasi banking sering error saat saya gunakan,Card,Call Center,negative
FB01738,Saya ingin mengetahui limit kartu kredit,Transaction,Call Center,neutral
FB01593,ATM sering tidak bisa digunakan,Loan,Call Center,negative
FB01564,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive
FB00481,Saya sangat puas dengan layanan bank ini,Card,Mobile App,positive
FB01757,Bagaimana cara mengganti PIN kartu,ATM,Branch,neutral
FB01913,ATM sering tidak bisa digunakan,Transaction,Call Center,negative
FB01441,Saya sangat puas dengan layanan bank ini,Savings,Mobile App,positive
FB01461,Saya sangat puas dengan layanan bank ini,Card,Mobile App,positive
FB00888,Aplikasi banking sering error saat saya gunakan,Savings,Call Center,negative
