Call_ID,Customer_ID,Agent_ID,Call_Date,Channel,Product,Intent,Sentiment,Duration_Sec,Hold_Sec,Transfer_Count,Resolution,CSAT,Transcript_Snippet,Word_Count,ASR_Confidence,Silence_Ratio,Agent_Talk_Ratio,Customer_Talk_Ratio,FCR,Sentiment_Score,QA_Score
CALL0000019,C001007,AG006,2026-04-15,Inbound Call,Credit Card,Fraud Report,Neutral,357,35,0,Unresolved,4.8,Ada transaksi kartu yang bukan saya lakukan.,52,0.775,0.033,0.421,0.546,0,0.591,0.515
CALL0000020,C000541,AG012,2026-01-21,Inbound Call,KTA,Cancellation,Neutral,132,0,1,Follow-up,3.1,Saya ingin menanyakan status pengajuan saya.,22,0.953,0.066,0.554,0.38,0,0.43,0.411
CALL0000021,C000600,AG013,2026-08-28,Inbound Call,Debit Card,Payment Issue,Neutral,423,56,0,Resolved,4.5,Saya ingin mengetahui cara melakukan transaksi ini.,60,0.913,0.136,0.618,0.246,1,0.487,0.928
CALL0000022,C000445,AG031,2026-02-23,Outbound Call,Mobile Banking,Information Request,Neutral,280,133,1,Resolved,3.3,Saya ingin menanyakan status pengajuan saya.,41,1.0,0.23,0.372,0.398,0,0.477,0.51
CALL0000023,C000219,AG013,2026-03-21,Inbound Call,Debit Card,Complaint,Negative,68,0,0,Unresolved,3.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,17,0.954,0.05,0.348,0.602,0,0.062,0.47
CALL0000024,C001112,AG036,2026-04-16,Inbound Call,Savings,Cancellation,Positive,732,193,0,Resolved,4.2,Saya puas dengan solusi yang diberikan.,98,0.975,0.13,0.714,0.156,1,0.819,1.0
CALL0000025,C000938,AG031,2026-07-19,Inbound Call,General,Product Inquiry,Neutral,323,19,0,Resolved,4.2,Saya ingin menanyakan status pengajuan saya.,46,0.887,0.131,0.479,0.39,1,0.585,0.977
CALL0000026,C000772,AG037,2026-06-28,Inbound Call,General,Transaction Issue,Neutral,125,70,0,Resolved,4.1,Saya ingin menanyakan status pengajuan saya.,22,0.883,0.166,0.491,0.343,1,0.449,1.0
CALL0000027,C000483,AG005,2026-07-05,Outbound Call,General,Product Inquiry,Negative,582,0,2,Resolved,4.6,Saya sudah menunggu lama dan masalah ini belum selesai.,82,0.928,0.203,0.391,0.406,0,0.282,0.489
CALL0000028,C000987,AG040,2026-02-26,Inbound Call,Credit Card,Information Request,Neutral,289,67,2,Resolved,4.7,Saya ingin mengetahui cara melakukan transaksi ini.,43,0.908,0.092,0.506,0.402,0,0.373,0.463
CALL0000029,C000654,AG025,2026-07-22,Inbound Call,Mobile Banking,Product Inquiry,Neutral,616,58,1,Unresolved,5.0,Saya ingin menanyakan status pengajuan saya.,83,1.0,0.191,0.686,0.123,0,0.502,0.46
CALL0000030,C000532,AG040,2026-07-19,Outbound Call,Credit Card,Cancellation,Neutral,288,0,0,Resolved,3.2,Mohon informasi mengenai biaya dan ketentuan produk.,43,0.921,0.213,0.511,0.276,1,0.49,0.943
CALL0000031,C000541,AG015,2026-04-22,Inbound Call,KPR,Transaction Issue,Neutral,323,220,0,Unresolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.,47,0.857,0.245,0.608,0.147,0,0.507,0.577
CALL0000032,C000273,AG039,2026-05-11,Inbound Call,KTA,Fraud Report,Negative,482,38,0,Resolved,5.0,Saya ingin melaporkan transaksi yang mencurigakan.,66,0.88,0.155,0.483,0.362,1,0.207,0.957
CALL0000033,C000111,AG024,2026-01-09,Inbound Call,Mobile Banking,Transaction Issue,Neutral,527,38,1,Resolved,3.8,Saya ingin mengetahui cara melakukan transaksi ini.,73,0.988,0.131,0.357,0.512,0,0.494,0.551
CALL0000034,C000665,AG003,2026-07-02,Inbound Call,Savings,Complaint,Neutral,558,118,1,Resolved,2.8,Saya ingin menanyakan status pengajuan saya.,76,0.92,0.087,0.398,0.515,0,0.469,0.422
CALL0000035,C001065,AG017,2026-08-19,Inbound Call,General,Complaint,Negative,404,165,0,Unresolved,3.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,59,0.917,0.018,0.346,0.636,0,0.191,0.477
CALL0000036,C000077,AG006,2026-04-24,Inbound Call,KTA,Payment Issue,Neutral,515,127,0,Follow-up,3.7,Saya ingin mengetahui cara melakukan transaksi ini.,71,0.994,0.101,0.506,0.393,0,0.609,0.603
CALL0000037,C001030,AG038,2026-05-10,Inbound Call,Mobile Banking,Fraud Report,Neutral,554,0,0,Resolved,5.0,Saya tidak melakukan transaksi ini.,74,0.875,0.128,0.627,0.245,1,0.454,0.955
CALL0000038,C000993,AG013,2026-04-30,Inbound Call,Debit Card,Information Request,Neutral,456,77,0,Follow-up,4.1,Saya ingin menanyakan status pengajuan saya.,63,0.796,0.112,0.499,0.389,0,0.68,0.494
CALL0000039,C000332,AG009,2026-01-20,Inbound Call,General,Complaint,Positive,394,0,0,Resolved,3.6,"Terima kasih sudah membantu saya, masalah saya sudah selesai.",58,0.879,0.162,0.443,0.395,1,0.699,0.863
CALL0000040,C000758,AG023,2026-05-29,Inbound Call,KPR,Transaction Issue,Negative,160,115,0,Resolved,3.5,Saya kecewa karena transaksi saya bermasalah.,26,0.945,0.018,0.385,0.597,1,0.219,0.888
CALL0000041,C000199,AG018,2026-06-23,Inbound Call,Debit Card,Payment Issue,Negative,528,0,0,Unresolved,3.1,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,75,0.915,0.107,0.523,0.37,0,0.246,0.47
CALL0000042,C000909,AG004,2026-08-11,Outbound Call,Credit Card,Transaction Issue,Negative,428,21,0,Resolved,4.7,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,63,0.836,0.26,0.331,0.409,1,0.177,0.986
CALL0000043,C000840,AG033,2026-08-12,Inbound Call,Savings,Payment Issue,Negative,346,65,0,Follow-up,4.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,52,0.991,0.19,0.344,0.466,0,0.311,0.507
CALL0000044,C000426,AG034,2026-04-29,Inbound Call,KTA,Fraud Report,Neutral,650,89,0,Resolved,5.0,Ada transaksi kartu yang bukan saya lakukan.,88,0.94,0.163,0.588,0.249,1,0.544,0.895
CALL0000045,C000082,AG030,2026-08-19,Inbound Call,General,Cancellation,Neutral,163,51,0,Unresolved,4.5,Saya ingin menanyakan status pengajuan saya.,26,0.953,0.147,0.447,0.406,0,0.484,0.586
CALL0000046,C001164,AG025,2026-05-07,Outbound Call,Debit Card,Cancellation,Neutral,716,149,1,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.,96,0.955,0.094,0.444,0.462,0,0.61,0.481
CALL0000047,C000535,AG017,2026-06-04,Inbound Call,General,Complaint,Negative,416,105,1,Resolved,3.9,Saya sudah menunggu lama dan masalah ini belum selesai.,61,0.852,0.0,0.46,0.54,0,0.119,0.459
CALL0000048,C001071,AG022,2026-05-25,Inbound Call,Debit Card,Complaint,Negative,477,100,0,Resolved,3.2,Saya sudah menunggu lama dan masalah ini belum selesai.,69,0.948,0.152,0.567,0.281,1,0.155,0.982
CALL0000049,C000813,AG021,2026-08-28,Inbound Call,KTA,Payment Issue,Neutral,349,0,2,Follow-up,3.4,Saya ingin mengetahui cara melakukan transaksi ini.,51,0.984,0.0,0.5,0.5,0,0.545,0.403
CALL0000050,C000934,AG007,2026-06-27,Inbound Call,Debit Card,Payment Issue,Neutral,120,158,0,Resolved,3.0,Mohon informasi mengenai biaya dan ketentuan produk.,22,0.998,0.097,0.391,0.512,1,0.564,0.995
CALL0000051,C000912,AG004,2026-01-29,Inbound Call,Credit Card,Complaint,Negative,395,21,0,Resolved,4.7,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,58,0.973,0.12,0.395,0.485,1,0.226,0.979
CALL0000052,C000234,AG011,2026-01-18,Inbound Call,Savings,Product Inquiry,Negative,480,161,0,Resolved,3.8,Saya sudah menunggu lama dan masalah ini belum selesai.,69,0.961,0.089,0.457,0.454,1,0.19,0.995
CALL0000053,C000437,AG019,2026-04-09,Outbound Call,Credit Card,Payment Issue,Negative,542,176,1,Resolved,4.8,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,77,0.826,0.272,0.516,0.212,0,0.18,0.463
CALL0000054,C000560,AG007,2026-05-04,Inbound Call,Debit Card,Payment Issue,Neutral,384,93,0,Resolved,4.2,Saya ingin mengetahui cara melakukan transaksi ini.,55,0.929,0.248,0.476,0.276,1,0.591,0.959
CALL0000055,C000597,AG005,2026-06-10,Outbound Call,General,Transaction Issue,Neutral,45,122,0,Unresolved,3.8,Saya ingin mengetahui cara melakukan transaksi ini.,13,0.873,0.192,0.465,0.343,0,0.519,0.48
CALL0000056,C000053,AG035,2026-04-26,Outbound Call,Mobile Banking,Cancellation,Neutral,143,0,0,Resolved,3.2,Mohon informasi mengenai biaya dan ketentuan produk.,25,1.0,0.055,0.486,0.459,1,0.43,0.887
CALL0000057,C000656,AG015,2026-05-04,Outbound Call,Debit Card,Product Inquiry,Neutral,789,54,0,Resolved,4.3,Mohon informasi mengenai biaya dan ketentuan produk.,106,0.998,0.254,0.476,0.27,1,0.426,0.96
CALL0000058,C000185,AG024,2026-08-10,Inbound Call,KPR,Payment Issue,Negative,223,126,0,Resolved,3.9,Saya kecewa karena transaksi saya bermasalah.,34,0.873,0.163,0.386,0.451,1,0.321,0.864
CALL0000059,C000892,AG021,2026-03-22,Inbound Call,General,Information Request,Neutral,677,116,1,Resolved,4.7,Mohon informasi mengenai biaya dan ketentuan produk.,92,0.927,0.054,0.613,0.333,0,0.442,0.515
CALL0000060,C000819,AG030,2026-04-29,Inbound Call,Savings,Product Inquiry,Neutral,252,0,0,Resolved,3.5,Saya ingin menanyakan status pengajuan saya.,38,0.945,0.122,0.422,0.456,1,0.522,0.914
CALL0000061,C001107,AG030,2026-05-14,Inbound Call,Mobile Banking,Complaint,Neutral,387,49,0,Resolved,4.5,Saya ingin menanyakan status pengajuan saya.,54,0.984,0.187,0.496,0.317,1,0.608,0.989
CALL0000062,C000893,AG012,2026-04-23,Outbound Call,Debit Card,Transaction Issue,Neutral,533,0,0,Resolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.,74,0.829,0.078,0.233,0.689,1,0.543,0.9
CALL0000063,C000440,AG034,2026-08-21,Inbound Call,Mobile Banking,Complaint,Neutral,272,88,0,Unresolved,4.3,Saya ingin menanyakan status pengajuan saya.,40,0.797,0.13,0.454,0.416,0,0.439,0.566
CALL0000064,C001161,AG015,2026-08-19,Inbound Call,KTA,Fraud Report,Positive,707,0,0,Resolved,4.6,Saya tidak melakukan transaksi ini.,93,0.932,0.142,0.348,0.51,1,0.669,1.0
CALL0000065,C000493,AG034,2026-05-04,Inbound Call,Mobile Banking,Cancellation,Negative,434,127,3,Resolved,4.5,Saya kecewa karena transaksi saya bermasalah.,60,0.778,0.043,0.363,0.594,0,0.35,0.41
CALL0000066,C000391,AG017,2026-04-19,Outbound Call,Mobile Banking,Product Inquiry,Neutral,503,130,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.,70,0.94,0.101,0.771,0.128,1,0.417,1.0
CALL0000067,C001086,AG005,2026-05-22,Inbound Call,General,Transaction Issue,Neutral,372,39,0,Follow-up,4.3,Mohon informasi mengenai biaya dan ketentuan produk.,53,0.966,0.048,0.51,0.442,0,0.456,0.567
CALL0000068,C000445,AG031,2026-02-13,Inbound Call,Savings,Transaction Issue,Neutral,539,94,0,Follow-up,4.6,Saya ingin menanyakan status pengajuan saya.,73,1.0,0.181,0.627,0.192,0,0.53,0.566
CALL0000069,C000092,AG002,2026-04-13,Outbound Call,Savings,Transaction Issue,Neutral,704,53,1,Resolved,4.0,Mohon informasi mengenai biaya dan ketentuan produk.,95,0.893,0.056,0.583,0.361,0,0.482,0.496
CALL0000070,C000563,AG031,2026-02-22,Outbound Call,Savings,Cancellation,Negative,396,78,0,Resolved,3.5,Saya kecewa karena transaksi saya bermasalah.,56,0.94,0.14,0.598,0.262,1,0.246,0.916
CALL0000071,C000955,AG002,2026-02-04,Inbound Call,Credit Card,Information Request,Negative,731,2,0,Resolved,3.1,Saya kecewa karena transaksi saya bermasalah.,97,0.969,0.023,0.456,0.521,1,0.083,0.831
CALL0000072,C000228,AG009,2026-01-23,Outbound Call,Credit Card,Complaint,Positive,310,99,0,Unresolved,5.0,Penjelasannya jelas dan saya sangat terbantu.,45,0.859,0.041,0.673,0.286,0,0.733,0.613
CALL0000073,C000556,AG025,2026-05-21,Outbound Call,Credit Card,Fraud Report,Negative,558,0,0,Resolved,3.3,Saya tidak melakukan transaksi ini.,75,0.985,0.037,0.582,0.381,1,0.254,0.917
CALL0000074,C000156,AG038,2026-01-01,Inbound Call,Mobile Banking,Cancellation,Negative,508,0,0,Resolved,4.6,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,73,0.946,0.1,0.485,0.415,1,0.254,0.9
CALL0000075,C000824,AG017,2026-06-05,Inbound Call,KTA,Fraud Report,Neutral,228,58,0,Resolved,4.4,Saya tidak melakukan transaksi ini.,33,0.894,0.133,0.512,0.355,1,0.454,0.929
CALL0000076,C000571,AG005,2026-04-14,Inbound Call,General,Information Request,Neutral,458,53,0,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.,63,0.938,0.146,0.464,0.39,1,0.418,0.965
CALL0000077,C000396,AG010,2026-03-29,Inbound Call,Mobile Banking,Complaint,Neutral,421,80,1,Resolved,3.7,Saya ingin mengetahui cara melakukan transaksi ini.,60,0.922,0.0,0.486,0.514,0,0.517,0.466
CALL0000078,C000273,AG036,2026-07-04,Inbound Call,Credit Card,Payment Issue,Negative,266,29,0,Resolved,3.5,Saya kecewa karena transaksi saya bermasalah.,39,0.977,0.108,0.475,0.417,1,0.095,0.937
CALL0000079,C000677,AG030,2026-05-10,Inbound Call,Credit Card,Cancellation,Neutral,484,169,0,Unresolved,4.3,Saya ingin menanyakan status pengajuan saya.,66,0.908,0.067,0.526,0.407,0,0.603,0.622
CALL0000080,C000804,AG005,2026-06-26,Inbound Call,KTA,Information Request,Neutral,446,74,0,Unresolved,3.8,Mohon informasi mengenai biaya dan ketentuan produk.,63,0.944,0.157,0.689,0.154,0,0.513,0.476
CALL0000081,C001128,AG016,2026-06-20,Inbound Call,General,Complaint,Negative,407,78,1,Resolved,3.1,Saya kecewa karena transaksi saya bermasalah.,57,0.893,0.101,0.335,0.564,0,0.144,0.428
CALL0000082,C000525,AG011,2026-01-08,Inbound Call,Credit Card,Complaint,Negative,408,76,1,Resolved,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,60,0.874,0.114,0.617,0.269,0,0.116,0.464
CALL0000083,C000193,AG008,2026-02-21,Inbound Call,KPR,Transaction Issue,Neutral,404,120,0,Follow-up,3.5,Mohon informasi mengenai biaya dan ketentuan produk.,57,0.94,0.068,0.436,0.496,0,0.449,0.591
CALL0000084,C000999,AG034,2026-05-17,Inbound Call,Credit Card,Cancellation,Negative,354,97,1,Unresolved,3.3,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,53,0.876,0.241,0.632,0.127,0,0.075,0.412
CALL0000085,C000756,AG025,2026-08-23,Inbound Call,KTA,Information Request,Positive,445,89,1,Follow-up,3.9,Penjelasannya jelas dan saya sangat terbantu.,62,0.978,0.03,0.44,0.53,0,0.79,0.468
CALL0000086,C000840,AG008,2026-02-07,Inbound Call,General,Cancellation,Negative,304,105,0,Follow-up,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,47,0.966,0.092,0.53,0.378,0,0.136,0.646
CALL0000087,C000117,AG027,2026-01-26,Inbound Call,Mobile Banking,Complaint,Neutral,898,0,0,Resolved,2.4,Saya ingin menanyakan status pengajuan saya.,118,0.884,0.128,0.461,0.411,1,0.532,0.939
CALL0000088,C000375,AG017,2026-08-14,Inbound Call,Savings,Cancellation,Positive,166,0,0,Resolved,4.9,Penjelasannya jelas dan saya sangat terbantu.,27,0.943,0.102,0.272,0.626,1,0.793,1.0
CALL0000089,C000921,AG003,2026-08-21,Outbound Call,KPR,Information Request,Negative,315,61,1,Resolved,3.4,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,48,0.884,0.067,0.689,0.244,0,0.277,0.364
CALL0000090,C000998,AG018,2026-02-10,Inbound Call,KTA,Payment Issue,Neutral,329,54,0,Resolved,4.2,Saya ingin menanyakan status pengajuan saya.,47,0.834,0.0,0.367,0.633,1,0.52,0.959
CALL0000091,C000522,AG008,2026-04-07,Outbound Call,Savings,Fraud Report,Positive,787,97,0,Resolved,3.5,Ada transaksi kartu yang bukan saya lakukan.,105,0.894,0.072,0.49,0.438,1,0.84,0.932
CALL0000092,C000965,AG010,2026-05-31,Inbound Call,KPR,Information Request,Neutral,182,66,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.,30,0.927,0.053,0.354,0.593,1,0.611,0.983
CALL0000093,C001010,AG036,2026-02-16,Inbound Call,Mobile Banking,Information Request,Neutral,497,97,0,Resolved,4.1,Saya ingin mengetahui cara melakukan transaksi ini.,69,0.961,0.238,0.32,0.442,1,0.521,0.96
CALL0000094,C000465,AG029,2026-03-20,Outbound Call,General,Cancellation,Positive,465,0,1,Resolved,3.5,"Terima kasih sudah membantu saya, masalah saya sudah selesai.",67,0.939,0.279,0.455,0.266,0,0.775,0.525
CALL0000095,C001077,AG006,2026-04-05,Outbound Call,KPR,Transaction Issue,Neutral,480,64,0,Unresolved,3.8,Saya ingin menanyakan status pengajuan saya.,66,0.984,0.116,0.409,0.475,0,0.455,0.601
CALL0000096,C000346,AG035,2026-06-03,Inbound Call,KPR,Transaction Issue,Negative,643,0,0,Resolved,4.1,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,89,0.871,0.022,0.34,0.638,1,0.121,0.983
CALL0000097,C000288,AG023,2026-03-15,Inbound Call,Credit Card,Cancellation,Negative,639,86,0,Resolved,4.2,Saya sudah menunggu lama dan masalah ini belum selesai.,89,0.907,0.172,0.476,0.352,1,0.303,0.96
CALL0000098,C000819,AG035,2026-04-09,Inbound Call,Debit Card,Fraud Report,Positive,339,0,0,Resolved,4.4,Saya ingin melaporkan transaksi yang mencurigakan.,48,1.0,0.051,0.302,0.647,1,0.798,1.0
CALL0000099,C000764,AG030,2026-03-11,Inbound Call,Savings,Product Inquiry,Neutral,455,84,1,Resolved,4.0,Saya ingin mengetahui cara melakukan transaksi ini.,64,0.814,0.082,0.495,0.423,0,0.555,0.436
CALL0000100,C000168,AG014,2026-07-02,Inbound Call,KPR,Fraud Report,Negative,84,0,1,Resolved,3.0,Saya tidak melakukan transaksi ini.,15,0.903,0.076,0.465,0.459,0,0.153,0.353
CALL0000101,C000999,AG022,2026-02-06,Outbound Call,KPR,Complaint,Positive,438,44,0,Resolved,3.8,"Terima kasih sudah membantu saya, masalah saya sudah selesai.",64,0.866,0.085,0.182,0.733,1,0.88,0.912
CALL0000102,C000240,AG022,2026-02-25,Inbound Call,Credit Card,Complaint,Neutral,277,114,2,Resolved,4.5,Saya ingin menanyakan status pengajuan saya.,41,0.918,0.095,0.417,0.488,0,0.482,0.433
CALL0000103,C000966,AG029,2026-03-01,Inbound Call,Savings,Complaint,Positive,386,78,0,Follow-up,3.5,Saya puas dengan solusi yang diberikan.,54,0.904,0.028,0.536,0.436,0,0.686,0.586
CALL0000104,C000009,AG010,2026-08-06,Inbound Call,Mobile Banking,Product Inquiry,Neutral,117,0,2,Resolved,4.6,Saya ingin menanyakan status pengajuan saya.,21,0.966,0.071,0.352,0.577,0,0.454,0.418
CALL0000105,C000956,AG014,2026-08-15,Inbound Call,KPR,Fraud Report,Neutral,493,28,0,Resolved,4.1,Saya ingin melaporkan transaksi yang mencurigakan.,68,0.945,0.191,0.541,0.268,1,0.626,0.978
CALL0000106,C000944,AG010,2026-05-01,Inbound Call,Credit Card,Cancellation,Negative,115,0,1,Unresolved,3.9,Saya kecewa karena transaksi saya bermasalah.,20,0.852,0.118,0.532,0.35,0,0.111,0.386
CALL0000107,C000936,AG012,2026-02-07,Inbound Call,Savings,Payment Issue,Negative,447,0,1,Resolved,4.9,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,65,0.895,0.129,0.358,0.513,0,0.14,0.562
CALL0000108,C000798,AG007,2026-07-01,Inbound Call,Mobile Banking,Information Request,Neutral,199,71,1,Follow-up,2.7,Mohon informasi mengenai biaya dan ketentuan produk.,32,0.93,0.0,0.479,0.521,0,0.732,0.431
CALL0000109,C000566,AG002,2026-04-29,Inbound Call,KTA,Payment Issue,Neutral,267,96,0,Resolved,3.5,Mohon informasi mengenai biaya dan ketentuan produk.,40,0.974,0.186,0.579,0.235,1,0.575,0.921
CALL0000110,C000846,AG038,2026-07-23,Inbound Call,KPR,Payment Issue,Neutral,628,89,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.,85,1.0,0.072,0.375,0.553,1,0.441,1.0
CALL0000111,C000333,AG003,2026-03-28,Inbound Call,KPR,Product Inquiry,Positive,526,98,0,Resolved,5.0,Penjelasannya jelas dan saya sangat terbantu.,72,0.972,0.199,0.455,0.346,1,0.663,1.0
CALL0000112,C000937,AG036,2026-08-28,Outbound Call,Debit Card,Fraud Report,Negative,627,64,1,Resolved,5.0,Ada transaksi kartu yang bukan saya lakukan.,85,0.869,0.131,0.618,0.251,0,0.066,0.455
CALL0000113,C000667,AG001,2026-07-13,Inbound Call,General,Information Request,Neutral,701,50,1,Follow-up,4.1,Saya ingin mengetahui cara melakukan transaksi ini.,95,0.924,0.081,0.377,0.542,0,0.508,0.477
CALL0000114,C000551,AG032,2026-02-23,Inbound Call,Debit Card,Information Request,Negative,281,6,0,Resolved,4.4,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.,44,0.941,0.003,0.535,0.462,1,0.258,1.0
CALL0000115,C000607,AG014,2026-06-24,Inbound Call,Savings,Complaint,Neutral,690,41,0,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.,92,0.899,0.272,0.35,0.378,1,0.622,1.0
CALL0000116,C000682,AG021,2026-03-10,Inbound Call,Debit Card,Product Inquiry,Positive,156,0,0,Resolved,5.0,"Terima kasih sudah membantu saya, masalah saya sudah selesai.",29,0.958,0.176,0.461,0.363,1,0.598,1.0
CALL0000117,C000045,AG012,2026-03-25,Inbound Call,KTA,Fraud Report,Neutral,554,19,1,Follow-up,4.3,Saya ingin melaporkan transaksi yang mencurigakan.,75,0.794,0.18,0.534,0.286,0,0.394,0.372
CALL0000118,C000168,AG020,2026-03-02,Inbound Call,Credit Card,Information Request,Neutral,331,70,2,Resolved,4.7,Mohon informasi mengenai biaya dan ketentuan produk.,48,0.963,0.247,0.191,0.562,0,0.49,0.514
CALL0000119,C000295,AG019,2026-06-13,Inbound Call,KTA,Complaint,Negative,253,59,1,Resolved,4.4,Saya kecewa karena transaksi saya bermasalah.,38,0.901,0.136,0.416,0.448,0,0.423,0.458
CALL0000120,C000138,AG022,2026-03-05,Outbound Call,Mobile Banking,Complaint,Neutral,531,234,0,Follow-up,4.4,Saya ingin mengetahui cara melakukan transaksi ini.,73,0.923,0.215,0.532,0.253,0,0.571,0.627
CALL0000121,C000528,AG016,2026-06-03,Inbound Call,Mobile Banking,Product Inquiry,Neutral,590,0,0,Resolved,3.4,Mohon informasi mengenai biaya dan ketentuan produk.,81,1.0,0.086,0.507,0.407,1,0.53,0.9
