Call_ID,Customer_ID,Agent_ID,Call_Date,Channel,Product,Intent,Sentiment,Duration_Sec,Hold_Sec,Transfer_Count,Resolution,CSAT,Transcript_Snippet
CALL0000031,C000541,AG015,2026-04-22,Inbound Call,KPR,Transaction Issue,Neutral,323,220,0,Unresolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000032,C000273,AG039,2026-05-11,Inbound Call,KTA,Fraud Report,Negative,482,38,0,Resolved,5.0,Saya ingin melaporkan transaksi yang mencurigakan.
CALL0000033,C000111,AG024,2026-01-09,Inbound Call,Mobile Banking,Transaction Issue,Neutral,527,38,1,Resolved,3.8,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000034,C000665,AG003,2026-07-02,Inbound Call,Savings,Complaint,Neutral,558,118,1,Resolved,2.8,Saya ingin menanyakan status pengajuan saya.
CALL0000035,C001065,AG017,2026-08-19,Inbound Call,General,Complaint,Negative,404,165,0,Unresolved,3.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000036,C000077,AG006,2026-04-24,Inbound Call,KTA,Payment Issue,Neutral,515,127,0,Follow-up,3.7,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000037,C001030,AG038,2026-05-10,Inbound Call,Mobile Banking,Fraud Report,Neutral,554,0,0,Resolved,5.0,Saya tidak melakukan transaksi ini.
CALL0000038,C000993,AG013,2026-04-30,Inbound Call,Debit Card,Information Request,Neutral,456,77,0,Follow-up,4.1,Saya ingin menanyakan status pengajuan saya.
CALL0000039,C000332,AG009,2026-01-20,Inbound Call,General,Complaint,Positive,394,0,0,Resolved,3.6,"Terima kasih sudah membantu saya, masalah saya sudah selesai."
CALL0000040,C000758,AG023,2026-05-29,Inbound Call,KPR,Transaction Issue,Negative,160,115,0,Resolved,3.5,Saya kecewa karena transaksi saya bermasalah.
CALL0000041,C000199,AG018,2026-06-23,Inbound Call,Debit Card,Payment Issue,Negative,528,0,0,Unresolved,3.1,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000042,C000909,AG004,2026-08-11,Outbound Call,Credit Card,Transaction Issue,Negative,428,21,0,Resolved,4.7,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000043,C000840,AG033,2026-08-12,Inbound Call,Savings,Payment Issue,Negative,346,65,0,Follow-up,4.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000044,C000426,AG034,2026-04-29,Inbound Call,KTA,Fraud Report,Neutral,650,89,0,Resolved,5.0,Ada transaksi kartu yang bukan saya lakukan.
CALL0000045,C000082,AG030,2026-08-19,Inbound Call,General,Cancellation,Neutral,163,51,0,Unresolved,4.5,Saya ingin menanyakan status pengajuan saya.
CALL0000046,C001164,AG025,2026-05-07,Outbound Call,Debit Card,Cancellation,Neutral,716,149,1,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.
CALL0000047,C000535,AG017,2026-06-04,Inbound Call,General,Complaint,Negative,416,105,1,Resolved,3.9,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000048,C001071,AG022,2026-05-25,Inbound Call,Debit Card,Complaint,Negative,477,100,0,Resolved,3.2,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000049,C000813,AG021,2026-08-28,Inbound Call,KTA,Payment Issue,Neutral,349,0,2,Follow-up,3.4,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000050,C000934,AG007,2026-06-27,Inbound Call,Debit Card,Payment Issue,Neutral,120,158,0,Resolved,3.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000051,C000912,AG004,2026-01-29,Inbound Call,Credit Card,Complaint,Negative,395,21,0,Resolved,4.7,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000052,C000234,AG011,2026-01-18,Inbound Call,Savings,Product Inquiry,Negative,480,161,0,Resolved,3.8,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000053,C000437,AG019,2026-04-09,Outbound Call,Credit Card,Payment Issue,Negative,542,176,1,Resolved,4.8,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000054,C000560,AG007,2026-05-04,Inbound Call,Debit Card,Payment Issue,Neutral,384,93,0,Resolved,4.2,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000055,C000597,AG005,2026-06-10,Outbound Call,General,Transaction Issue,Neutral,45,122,0,Unresolved,3.8,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000056,C000053,AG035,2026-04-26,Outbound Call,Mobile Banking,Cancellation,Neutral,143,0,0,Resolved,3.2,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000057,C000656,AG015,2026-05-04,Outbound Call,Debit Card,Product Inquiry,Neutral,789,54,0,Resolved,4.3,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000058,C000185,AG024,2026-08-10,Inbound Call,KPR,Payment Issue,Negative,223,126,0,Resolved,3.9,Saya kecewa karena transaksi saya bermasalah.
CALL0000059,C000892,AG021,2026-03-22,Inbound Call,General,Information Request,Neutral,677,116,1,Resolved,4.7,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000060,C000819,AG030,2026-04-29,Inbound Call,Savings,Product Inquiry,Neutral,252,0,0,Resolved,3.5,Saya ingin menanyakan status pengajuan saya.
CALL0000061,C001107,AG030,2026-05-14,Inbound Call,Mobile Banking,Complaint,Neutral,387,49,0,Resolved,4.5,Saya ingin menanyakan status pengajuan saya.
CALL0000062,C000893,AG012,2026-04-23,Outbound Call,Debit Card,Transaction Issue,Neutral,533,0,0,Resolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000063,C000440,AG034,2026-08-21,Inbound Call,Mobile Banking,Complaint,Neutral,272,88,0,Unresolved,4.3,Saya ingin menanyakan status pengajuan saya.
CALL0000064,C001161,AG015,2026-08-19,Inbound Call,KTA,Fraud Report,Positive,707,0,0,Resolved,4.6,Saya tidak melakukan transaksi ini.
CALL0000065,C000493,AG034,2026-05-04,Inbound Call,Mobile Banking,Cancellation,Negative,434,127,3,Resolved,4.5,Saya kecewa karena transaksi saya bermasalah.
CALL0000066,C000391,AG017,2026-04-19,Outbound Call,Mobile Banking,Product Inquiry,Neutral,503,130,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000067,C001086,AG005,2026-05-22,Inbound Call,General,Transaction Issue,Neutral,372,39,0,Follow-up,4.3,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000068,C000445,AG031,2026-02-13,Inbound Call,Savings,Transaction Issue,Neutral,539,94,0,Follow-up,4.6,Saya ingin menanyakan status pengajuan saya.
CALL0000069,C000092,AG002,2026-04-13,Outbound Call,Savings,Transaction Issue,Neutral,704,53,1,Resolved,4.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000070,C000563,AG031,2026-02-22,Outbound Call,Savings,Cancellation,Negative,396,78,0,Resolved,3.5,Saya kecewa karena transaksi saya bermasalah.
CALL0000071,C000955,AG002,2026-02-04,Inbound Call,Credit Card,Information Request,Negative,731,2,0,Resolved,3.1,Saya kecewa karena transaksi saya bermasalah.
CALL0000072,C000228,AG009,2026-01-23,Outbound Call,Credit Card,Complaint,Positive,310,99,0,Unresolved,5.0,Penjelasannya jelas dan saya sangat terbantu.
CALL0000073,C000556,AG025,2026-05-21,Outbound Call,Credit Card,Fraud Report,Negative,558,0,0,Resolved,3.3,Saya tidak melakukan transaksi ini.
CALL0000074,C000156,AG038,2026-01-01,Inbound Call,Mobile Banking,Cancellation,Negative,508,0,0,Resolved,4.6,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000075,C000824,AG017,2026-06-05,Inbound Call,KTA,Fraud Report,Neutral,228,58,0,Resolved,4.4,Saya tidak melakukan transaksi ini.
CALL0000076,C000571,AG005,2026-04-14,Inbound Call,General,Information Request,Neutral,458,53,0,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.
CALL0000077,C000396,AG010,2026-03-29,Inbound Call,Mobile Banking,Complaint,Neutral,421,80,1,Resolved,3.7,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000078,C000273,AG036,2026-07-04,Inbound Call,Credit Card,Payment Issue,Negative,266,29,0,Resolved,3.5,Saya kecewa karena transaksi saya bermasalah.
CALL0000079,C000677,AG030,2026-05-10,Inbound Call,Credit Card,Cancellation,Neutral,484,169,0,Unresolved,4.3,Saya ingin menanyakan status pengajuan saya.
CALL0000080,C000804,AG005,2026-06-26,Inbound Call,KTA,Information Request,Neutral,446,74,0,Unresolved,3.8,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000081,C001128,AG016,2026-06-20,Inbound Call,General,Complaint,Negative,407,78,1,Resolved,3.1,Saya kecewa karena transaksi saya bermasalah.
CALL0000082,C000525,AG011,2026-01-08,Inbound Call,Credit Card,Complaint,Negative,408,76,1,Resolved,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000083,C000193,AG008,2026-02-21,Inbound Call,KPR,Transaction Issue,Neutral,404,120,0,Follow-up,3.5,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000084,C000999,AG034,2026-05-17,Inbound Call,Credit Card,Cancellation,Negative,354,97,1,Unresolved,3.3,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000085,C000756,AG025,2026-08-23,Inbound Call,KTA,Information Request,Positive,445,89,1,Follow-up,3.9,Penjelasannya jelas dan saya sangat terbantu.
CALL0000086,C000840,AG008,2026-02-07,Inbound Call,General,Cancellation,Negative,304,105,0,Follow-up,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000087,C000117,AG027,2026-01-26,Inbound Call,Mobile Banking,Complaint,Neutral,898,0,0,Resolved,2.4,Saya ingin menanyakan status pengajuan saya.
CALL0000088,C000375,AG017,2026-08-14,Inbound Call,Savings,Cancellation,Positive,166,0,0,Resolved,4.9,Penjelasannya jelas dan saya sangat terbantu.
CALL0000089,C000921,AG003,2026-08-21,Outbound Call,KPR,Information Request,Negative,315,61,1,Resolved,3.4,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000090,C000998,AG018,2026-02-10,Inbound Call,KTA,Payment Issue,Neutral,329,54,0,Resolved,4.2,Saya ingin menanyakan status pengajuan saya.
CALL0000091,C000522,AG008,2026-04-07,Outbound Call,Savings,Fraud Report,Positive,787,97,0,Resolved,3.5,Ada transaksi kartu yang bukan saya lakukan.
CALL0000092,C000965,AG010,2026-05-31,Inbound Call,KPR,Information Request,Neutral,182,66,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000093,C001010,AG036,2026-02-16,Inbound Call,Mobile Banking,Information Request,Neutral,497,97,0,Resolved,4.1,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000094,C000465,AG029,2026-03-20,Outbound Call,General,Cancellation,Positive,465,0,1,Resolved,3.5,"Terima kasih sudah membantu saya, masalah saya sudah selesai."
CALL0000095,C001077,AG006,2026-04-05,Outbound Call,KPR,Transaction Issue,Neutral,480,64,0,Unresolved,3.8,Saya ingin menanyakan status pengajuan saya.
CALL0000096,C000346,AG035,2026-06-03,Inbound Call,KPR,Transaction Issue,Negative,643,0,0,Resolved,4.1,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000097,C000288,AG023,2026-03-15,Inbound Call,Credit Card,Cancellation,Negative,639,86,0,Resolved,4.2,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000098,C000819,AG035,2026-04-09,Inbound Call,Debit Card,Fraud Report,Positive,339,0,0,Resolved,4.4,Saya ingin melaporkan transaksi yang mencurigakan.
CALL0000099,C000764,AG030,2026-03-11,Inbound Call,Savings,Product Inquiry,Neutral,455,84,1,Resolved,4.0,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000100,C000168,AG014,2026-07-02,Inbound Call,KPR,Fraud Report,Negative,84,0,1,Resolved,3.0,Saya tidak melakukan transaksi ini.
CALL0000101,C000999,AG022,2026-02-06,Outbound Call,KPR,Complaint,Positive,438,44,0,Resolved,3.8,"Terima kasih sudah membantu saya, masalah saya sudah selesai."
CALL0000102,C000240,AG022,2026-02-25,Inbound Call,Credit Card,Complaint,Neutral,277,114,2,Resolved,4.5,Saya ingin menanyakan status pengajuan saya.
CALL0000103,C000966,AG029,2026-03-01,Inbound Call,Savings,Complaint,Positive,386,78,0,Follow-up,3.5,Saya puas dengan solusi yang diberikan.
CALL0000104,C000009,AG010,2026-08-06,Inbound Call,Mobile Banking,Product Inquiry,Neutral,117,0,2,Resolved,4.6,Saya ingin menanyakan status pengajuan saya.
CALL0000105,C000956,AG014,2026-08-15,Inbound Call,KPR,Fraud Report,Neutral,493,28,0,Resolved,4.1,Saya ingin melaporkan transaksi yang mencurigakan.
CALL0000106,C000944,AG010,2026-05-01,Inbound Call,Credit Card,Cancellation,Negative,115,0,1,Unresolved,3.9,Saya kecewa karena transaksi saya bermasalah.
CALL0000107,C000936,AG012,2026-02-07,Inbound Call,Savings,Payment Issue,Negative,447,0,1,Resolved,4.9,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000108,C000798,AG007,2026-07-01,Inbound Call,Mobile Banking,Information Request,Neutral,199,71,1,Follow-up,2.7,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000109,C000566,AG002,2026-04-29,Inbound Call,KTA,Payment Issue,Neutral,267,96,0,Resolved,3.5,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000110,C000846,AG038,2026-07-23,Inbound Call,KPR,Payment Issue,Neutral,628,89,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000111,C000333,AG003,2026-03-28,Inbound Call,KPR,Product Inquiry,Positive,526,98,0,Resolved,5.0,Penjelasannya jelas dan saya sangat terbantu.
CALL0000112,C000937,AG036,2026-08-28,Outbound Call,Debit Card,Fraud Report,Negative,627,64,1,Resolved,5.0,Ada transaksi kartu yang bukan saya lakukan.
CALL0000113,C000667,AG001,2026-07-13,Inbound Call,General,Information Request,Neutral,701,50,1,Follow-up,4.1,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000114,C000551,AG032,2026-02-23,Inbound Call,Debit Card,Information Request,Negative,281,6,0,Resolved,4.4,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000115,C000607,AG014,2026-06-24,Inbound Call,Savings,Complaint,Neutral,690,41,0,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.
CALL0000116,C000682,AG021,2026-03-10,Inbound Call,Debit Card,Product Inquiry,Positive,156,0,0,Resolved,5.0,"Terima kasih sudah membantu saya, masalah saya sudah selesai."
CALL0000117,C000045,AG012,2026-03-25,Inbound Call,KTA,Fraud Report,Neutral,554,19,1,Follow-up,4.3,Saya ingin melaporkan transaksi yang mencurigakan.
CALL0000118,C000168,AG020,2026-03-02,Inbound Call,Credit Card,Information Request,Neutral,331,70,2,Resolved,4.7,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000119,C000295,AG019,2026-06-13,Inbound Call,KTA,Complaint,Negative,253,59,1,Resolved,4.4,Saya kecewa karena transaksi saya bermasalah.
CALL0000120,C000138,AG022,2026-03-05,Outbound Call,Mobile Banking,Complaint,Neutral,531,234,0,Follow-up,4.4,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000121,C000528,AG016,2026-06-03,Inbound Call,Mobile Banking,Product Inquiry,Neutral,590,0,0,Resolved,3.4,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000122,C000802,AG022,2026-05-20,Inbound Call,General,Product Inquiry,Neutral,585,58,0,Resolved,3.8,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000123,C000785,AG034,2026-06-30,Inbound Call,General,Product Inquiry,Neutral,459,0,0,Resolved,3.7,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000124,C000565,AG018,2026-08-27,Outbound Call,KPR,Complaint,Negative,444,44,0,Resolved,3.2,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000125,C001026,AG015,2026-01-03,Outbound Call,Credit Card,Complaint,Positive,515,46,0,Unresolved,2.8,"Terima kasih sudah membantu saya, masalah saya sudah selesai."
CALL0000126,C000678,AG006,2026-08-26,Inbound Call,KPR,Complaint,Positive,475,111,0,Resolved,3.7,Saya puas dengan solusi yang diberikan.
CALL0000127,C000095,AG015,2026-01-27,Inbound Call,General,Cancellation,Positive,517,40,0,Follow-up,3.9,Saya puas dengan solusi yang diberikan.
CALL0000128,C000918,AG006,2026-05-07,Inbound Call,Debit Card,Cancellation,Neutral,457,54,0,Resolved,4.1,Saya ingin menanyakan status pengajuan saya.
CALL0000129,C000689,AG008,2026-03-23,Outbound Call,Credit Card,Transaction Issue,Neutral,572,41,1,Resolved,4.5,Saya ingin menanyakan status pengajuan saya.
CALL0000130,C000762,AG039,2026-06-03,Inbound Call,KPR,Complaint,Positive,127,0,0,Resolved,4.2,Saya puas dengan solusi yang diberikan.
CALL0000131,C000678,AG004,2026-06-23,Inbound Call,Savings,Transaction Issue,Neutral,396,29,2,Resolved,3.9,Saya ingin menanyakan status pengajuan saya.
CALL0000132,C000664,AG020,2026-07-26,Inbound Call,Mobile Banking,Cancellation,Neutral,171,44,1,Resolved,3.4,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000133,C000109,AG034,2026-04-07,Inbound Call,General,Information Request,Positive,470,69,1,Resolved,4.7,"Terima kasih sudah membantu saya, masalah saya sudah selesai."
CALL0000134,C000671,AG039,2026-08-12,Outbound Call,Debit Card,Cancellation,Negative,716,96,0,Resolved,4.0,Saya kecewa karena transaksi saya bermasalah.
CALL0000135,C000954,AG006,2026-03-19,Inbound Call,KPR,Fraud Report,Neutral,335,52,0,Unresolved,3.7,Ada transaksi kartu yang bukan saya lakukan.
CALL0000136,C000365,AG007,2026-02-18,Inbound Call,Credit Card,Complaint,Neutral,443,51,1,Resolved,3.9,Saya ingin menanyakan status pengajuan saya.
CALL0000137,C000723,AG015,2026-04-01,Inbound Call,Mobile Banking,Payment Issue,Neutral,556,0,0,Resolved,3.5,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000138,C000037,AG023,2026-05-07,Inbound Call,Savings,Fraud Report,Neutral,48,95,0,Resolved,3.7,Ada transaksi kartu yang bukan saya lakukan.
CALL0000139,C000417,AG039,2026-06-10,Inbound Call,General,Product Inquiry,Negative,326,27,1,Resolved,3.6,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000140,C000524,AG009,2026-07-19,Inbound Call,Mobile Banking,Complaint,Neutral,486,106,0,Resolved,3.8,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000141,C001179,AG007,2026-02-23,Outbound Call,Savings,Transaction Issue,Neutral,45,137,0,Follow-up,4.5,Saya ingin menanyakan status pengajuan saya.
CALL0000142,C000258,AG011,2026-03-14,Inbound Call,KTA,Product Inquiry,Negative,244,55,1,Resolved,4.4,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000143,C000332,AG035,2026-08-14,Inbound Call,Credit Card,Product Inquiry,Negative,618,9,1,Resolved,5.0,Saya sudah menunggu lama dan masalah ini belum selesai.
CALL0000144,C000490,AG002,2026-04-16,Inbound Call,General,Complaint,Negative,601,64,0,Resolved,5.0,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000145,C001191,AG016,2026-02-27,Inbound Call,Debit Card,Product Inquiry,Neutral,487,84,0,Resolved,5.0,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000146,C001024,AG005,2026-08-25,Inbound Call,KPR,Payment Issue,Positive,579,48,0,Resolved,4.5,Saya puas dengan solusi yang diberikan.
CALL0000147,C000042,AG007,2026-04-18,Inbound Call,Mobile Banking,Cancellation,Neutral,459,34,0,Resolved,4.5,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000148,C000281,AG037,2026-08-25,Inbound Call,KTA,Information Request,Neutral,520,96,0,Resolved,3.7,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000149,C000986,AG001,2026-08-09,Inbound Call,Savings,Payment Issue,Neutral,363,92,1,Resolved,4.7,Saya ingin menanyakan status pengajuan saya.
CALL0000150,C000070,AG013,2026-08-06,Inbound Call,Debit Card,Product Inquiry,Negative,441,46,0,Unresolved,3.6,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000151,C001026,AG037,2026-05-20,Inbound Call,Debit Card,Complaint,Neutral,306,0,0,Resolved,2.9,Saya ingin mengetahui cara melakukan transaksi ini.
CALL0000152,C000338,AG025,2026-07-11,Inbound Call,KPR,Complaint,Neutral,647,90,0,Resolved,5.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000153,C001101,AG003,2026-08-19,Outbound Call,KTA,Payment Issue,Neutral,694,23,0,Resolved,3.1,Saya ingin menanyakan status pengajuan saya.
CALL0000154,C000353,AG019,2026-03-06,Inbound Call,Debit Card,Information Request,Neutral,668,77,0,Resolved,4.4,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000155,C000521,AG039,2026-01-10,Inbound Call,General,Complaint,Neutral,347,73,0,Resolved,3.4,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000156,C000794,AG017,2026-03-19,Outbound Call,Credit Card,Fraud Report,Negative,248,0,0,Resolved,4.9,Saya tidak melakukan transaksi ini.
CALL0000157,C000152,AG022,2026-06-02,Inbound Call,Debit Card,Fraud Report,Neutral,650,69,1,Resolved,5.0,Saya ingin melaporkan transaksi yang mencurigakan.
CALL0000158,C000668,AG022,2026-05-12,Inbound Call,Savings,Product Inquiry,Negative,518,93,1,Resolved,4.4,Saya sudah menghubungi beberapa kali tetapi belum ada solusi.
CALL0000159,C000606,AG027,2026-01-20,Inbound Call,Mobile Banking,Product Inquiry,Neutral,479,100,1,Resolved,5.0,Saya ingin menanyakan status pengajuan saya.
CALL0000160,C000940,AG008,2026-05-15,Inbound Call,Credit Card,Payment Issue,Negative,306,71,0,Follow-up,4.1,Saya kecewa karena transaksi saya bermasalah.
CALL0000161,C001195,AG034,2026-02-11,Inbound Call,Mobile Banking,Cancellation,Neutral,497,0,1,Follow-up,5.0,Mohon informasi mengenai biaya dan ketentuan produk.
CALL0000162,C000797,AG040,2026-05-02,Inbound Call,Mobile Banking,Complaint,Negative,225,135,0,Unresolved,4.6,Saya kecewa karena transaksi saya bermasalah.
CALL0000163,C000491,AG006,2026-05-19,Inbound Call,Mobile Banking,Complaint,Negative,534,88,1,Resolved,3.4,Saya sudah menunggu lama dan masalah ini belum selesai.
