Feedback_ID,Text,Topic,Channel,Sentiment,Clean_Text,Topic_Model,Topic_Score,Sentiment_Priority,Priority
FB00252,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB00586,Petugas bank ramah dan profesional,Card,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01569,Transaksi saya gagal dan saldo belum kembali,Mobile Banking,ATM,negative,transaksi saya gagal dan saldo belum kembali,4,0.07976518594179097,3,High
FB00825,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00508,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB00890,Customer service lambat merespons keluhan saya,Mobile Banking,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00071,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01609,Transaksi saya gagal dan saldo belum kembali,Savings,ATM,negative,transaksi saya gagal dan saldo belum kembali,4,0.07976518594179097,3,High
FB01533,ATM sering tidak bisa digunakan,ATM,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB00248,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01451,Proses pengajuan kredit terlalu lama,Transaction,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB00213,ATM sering tidak bisa digunakan,Customer Service,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB00910,Customer service lambat merespons keluhan saya,ATM,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB01742,Aplikasi mobile banking sangat mudah digunakan,Savings,Branch,positive,aplikasi mobile banking sangat mudah digunakan,6,0.20989998208001634,0,Low
FB01245,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01697,Bagaimana cara mengganti PIN kartu,Customer Service,Branch,neutral,bagaimana cara mengganti pin kartu,2,0.04933707118670494,1,Medium
FB01183,Pelayanan customer service sangat cepat dan membantu,ATM,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB00362,Aplikasi mobile banking sangat mudah digunakan,Card,Branch,positive,aplikasi mobile banking sangat mudah digunakan,6,0.20989998208001634,0,Low
FB01474,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00679,Apa syarat pengajuan KPR,ATM,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB01622,Aplikasi mobile banking sangat mudah digunakan,Card,Branch,positive,aplikasi mobile banking sangat mudah digunakan,6,0.20989998208001634,0,Low
FB01090,Customer service lambat merespons keluhan saya,Card,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB01988,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01848,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB00988,Aplikasi banking sering error saat saya gunakan,Mobile Banking,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01513,ATM sering tidak bisa digunakan,Mobile Banking,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB00112,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB01488,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01454,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00384,Proses transaksi berjalan lancar dan cepat,Savings,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB01396,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral,saya ingin informasi tentang produk tabungan,2,0.16840665324179388,1,Medium
FB01055,Saya tidak puas dengan pelayanan bank,Card,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB00756,Saya ingin informasi tentang produk tabungan,ATM,Mobile App,neutral,saya ingin informasi tentang produk tabungan,2,0.16840665324179388,1,Medium
FB00325,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01624,Proses transaksi berjalan lancar dan cepat,ATM,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB00788,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB00369,Transaksi saya gagal dan saldo belum kembali,Card,ATM,negative,transaksi saya gagal dan saldo belum kembali,4,0.07976518594179097,3,High
FB01820,Saya ingin mengetahui jam operasional cabang,ATM,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB00070,Customer service lambat merespons keluhan saya,ATM,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00858,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral,saya ingin mengetahui limit kartu kredit,2,0.25019283653826707,1,Medium
FB01484,Proses transaksi berjalan lancar dan cepat,ATM,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB01556,Saya ingin informasi tentang produk tabungan,Transaction,Mobile App,neutral,saya ingin informasi tentang produk tabungan,2,0.16840665324179388,1,Medium
FB01692,Saya kecewa karena biaya administrasi terlalu tinggi,Card,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB01475,Saya tidak puas dengan pelayanan bank,Card,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB01799,Apa syarat pengajuan KPR,ATM,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00479,Apa syarat pengajuan KPR,Customer Service,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00282,Aplikasi mobile banking sangat mudah digunakan,Transaction,Branch,positive,aplikasi mobile banking sangat mudah digunakan,6,0.20989998208001634,0,Low
FB01648,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01557,Bagaimana cara mengganti PIN kartu,Customer Service,Branch,neutral,bagaimana cara mengganti pin kartu,2,0.04933707118670494,1,Medium
FB01730,Customer service lambat merespons keluhan saya,Mobile Banking,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00211,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB00298,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral,saya ingin mengetahui limit kartu kredit,2,0.25019283653826707,1,Medium
FB01885,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01834,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00652,Saya kecewa karena biaya administrasi terlalu tinggi,Mobile Banking,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB01234,Aplikasi sulit digunakan dan sering logout,Transaction,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB01503,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB01932,Saya kecewa karena biaya administrasi terlalu tinggi,ATM,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB00917,Bagaimana cara mengganti PIN kartu,ATM,Branch,neutral,bagaimana cara mengganti pin kartu,2,0.04933707118670494,1,Medium
FB00994,Aplikasi sulit digunakan dan sering logout,ATM,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00430,Customer service lambat merespons keluhan saya,Customer Service,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB01371,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB00240,Saya ingin mengetahui jam operasional cabang,Transaction,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB00880,Saya ingin mengetahui jam operasional cabang,Card,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB00621,Saya sangat puas dengan layanan bank ini,Card,Mobile App,positive,saya sangat puas dengan layanan bank ini,1,0.09265928272652466,0,Low
FB00257,Bagaimana cara mengganti PIN kartu,Card,Branch,neutral,bagaimana cara mengganti pin kartu,2,0.04933707118670494,1,Medium
FB00612,Saya kecewa karena biaya administrasi terlalu tinggi,Customer Service,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB00545,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00772,Saya kecewa karena biaya administrasi terlalu tinggi,Transaction,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB01420,Saya ingin mengetahui jam operasional cabang,Savings,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB01042,Aplikasi mobile banking sangat mudah digunakan,Savings,Branch,positive,aplikasi mobile banking sangat mudah digunakan,6,0.20989998208001634,0,Low
FB01790,Customer service lambat merespons keluhan saya,Card,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00760,Saya ingin mengetahui jam operasional cabang,Loan,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB00383,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB01104,Proses transaksi berjalan lancar dan cepat,Card,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB00974,Aplikasi sulit digunakan dan sering logout,Mobile Banking,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00353,ATM sering tidak bisa digunakan,Customer Service,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB01606,Petugas bank ramah dan profesional,Customer Service,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01826,Petugas bank ramah dan profesional,Savings,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01037,Bagaimana cara mengganti PIN kartu,Mobile Banking,Branch,neutral,bagaimana cara mengganti pin kartu,2,0.04933707118670494,1,Medium
FB01108,Aplikasi banking sering error saat saya gunakan,Transaction,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB00495,Saya tidak puas dengan pelayanan bank,Card,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB00394,Aplikasi sulit digunakan dan sering logout,Transaction,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB01547,Transfer berhasil tanpa masalah,ATM,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB00465,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00887,Transfer berhasil tanpa masalah,Card,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB01194,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00367,Transfer berhasil tanpa masalah,Customer Service,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB01894,Aplikasi sulit digunakan dan sering logout,Loan,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB01874,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00745,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00530,Customer service lambat merespons keluhan saya,Card,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00803,Pelayanan customer service sangat cepat dan membantu,Card,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB01224,Proses transaksi berjalan lancar dan cepat,Savings,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB01979,Apa syarat pengajuan KPR,Card,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB01906,Petugas bank ramah dan profesional,Transaction,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01700,Saya ingin mengetahui jam operasional cabang,Savings,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB01545,Saya suka fitur mobile banking yang lengkap,Card,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01314,Aplikasi sulit digunakan dan sering logout,Card,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00307,Transfer berhasil tanpa masalah,Savings,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB01667,Transfer berhasil tanpa masalah,Mobile Banking,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB00863,Pelayanan customer service sangat cepat dan membantu,Transaction,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB01567,Transfer berhasil tanpa masalah,Savings,Branch,positive,transfer berhasil tanpa masalah,6,1.614786542755145e-06,0,Low
FB00531,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB00655,Saya tidak puas dengan pelayanan bank,Loan,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB01260,Saya ingin mengetahui jam operasional cabang,ATM,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB00234,Aplikasi sulit digunakan dan sering logout,Customer Service,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00121,Saya sangat puas dengan layanan bank ini,Transaction,Mobile App,positive,saya sangat puas dengan layanan bank ini,1,0.09265928272652466,0,Low
FB01698,Saya ingin mengetahui limit kartu kredit,Loan,Call Center,neutral,saya ingin mengetahui limit kartu kredit,2,0.25019283653826707,1,Medium
FB00950,Customer service lambat merespons keluhan saya,Card,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00618,Saya ingin mengetahui limit kartu kredit,Transaction,Call Center,neutral,saya ingin mengetahui limit kartu kredit,2,0.25019283653826707,1,Medium
FB01179,Apa syarat pengajuan KPR,Customer Service,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00308,Aplikasi banking sering error saat saya gunakan,ATM,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB00136,Saya ingin informasi tentang produk tabungan,Customer Service,Mobile App,neutral,saya ingin informasi tentang produk tabungan,2,0.16840665324179388,1,Medium
FB00555,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB01674,Aplikasi sulit digunakan dan sering logout,Mobile Banking,ATM,negative,aplikasi sulit digunakan dan sering logout,3,0.242213474053518,3,High
FB00584,Proses transaksi berjalan lancar dan cepat,Customer Service,ATM,positive,proses transaksi berjalan lancar dan cepat,4,0.10629773296912669,0,Low
FB01641,Saya sangat puas dengan layanan bank ini,Customer Service,Mobile App,positive,saya sangat puas dengan layanan bank ini,1,0.09265928272652466,0,Low
FB00671,Proses pengajuan kredit terlalu lama,Savings,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB00835,Saya tidak puas dengan pelayanan bank,Transaction,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB00110,Customer service lambat merespons keluhan saya,Card,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB01165,Saya suka fitur mobile banking yang lengkap,Customer Service,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01960,Saya ingin mengetahui jam operasional cabang,ATM,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB01465,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB01729,Transaksi saya gagal dan saldo belum kembali,ATM,ATM,negative,transaksi saya gagal dan saldo belum kembali,4,0.07976518594179097,3,High
FB01243,Pelayanan customer service sangat cepat dan membantu,Loan,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB00212,Saya kecewa karena biaya administrasi terlalu tinggi,Transaction,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB01768,Aplikasi banking sering error saat saya gunakan,Loan,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB01121,Saya sangat puas dengan layanan bank ini,Mobile Banking,Mobile App,positive,saya sangat puas dengan layanan bank ini,1,0.09265928272652466,0,Low
FB00680,Saya ingin mengetahui jam operasional cabang,Mobile Banking,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB01951,Proses pengajuan kredit terlalu lama,Card,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01839,Apa syarat pengajuan KPR,Card,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00412,Saya kecewa karena biaya administrasi terlalu tinggi,Savings,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB01325,Saya suka fitur mobile banking yang lengkap,Transaction,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00783,Pelayanan customer service sangat cepat dan membantu,Savings,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB01346,Petugas bank ramah dan profesional,Transaction,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB00875,Saya tidak puas dengan pelayanan bank,ATM,Email,negative,saya tidak puas dengan pelayanan bank,1,0.09336184129421808,3,High
FB01653,ATM sering tidak bisa digunakan,Mobile Banking,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB01279,Apa syarat pengajuan KPR,Card,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00786,Petugas bank ramah dan profesional,Transaction,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB01819,Apa syarat pengajuan KPR,Savings,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB01199,Apa syarat pengajuan KPR,Transaction,ATM,neutral,apa syarat pengajuan kpr,5,0.16188235170437767,1,Medium
FB00808,Aplikasi banking sering error saat saya gunakan,Customer Service,Call Center,negative,aplikasi banking sering error saat saya gunakan,3,0.1701897356859821,3,High
FB00713,ATM sering tidak bisa digunakan,Savings,Call Center,negative,atm sering tidak bisa digunakan,3,0.21136854725851217,3,High
FB01991,Proses pengajuan kredit terlalu lama,Customer Service,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01660,Saya ingin mengetahui jam operasional cabang,Mobile Banking,Email,neutral,saya ingin mengetahui jam operasional cabang,2,0.2455238818801823,1,Medium
FB01191,Proses pengajuan kredit terlalu lama,Mobile Banking,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01226,Petugas bank ramah dan profesional,Mobile Banking,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB00603,Pelayanan customer service sangat cepat dan membantu,Mobile Banking,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB00271,Proses pengajuan kredit terlalu lama,Card,Mobile App,negative,proses pengajuan kredit terlalu lama,5,0.2129058517153481,3,High
FB01385,Saya suka fitur mobile banking yang lengkap,Savings,Email,positive,saya suka fitur mobile banking yang lengkap,6,0.22314460568451358,0,Low
FB00232,Saya kecewa karena biaya administrasi terlalu tinggi,Mobile Banking,Branch,negative,saya kecewa karena biaya administrasi terlalu tinggi,5,0.1152856150730353,3,High
FB00050,Customer service lambat merespons keluhan saya,Mobile Banking,Email,negative,customer service lambat merespons keluhan saya,4,0.1837918353330011,3,High
FB00463,Pelayanan customer service sangat cepat dan membantu,Mobile Banking,Call Center,positive,pelayanan customer service sangat cepat dan membantu,4,0.21081811532378333,0,Low
FB01106,Petugas bank ramah dan profesional,ATM,Mobile App,positive,petugas bank ramah dan profesional,1,0.031096285002941575,0,Low
FB00856,Saya ingin informasi tentang produk tabungan,Transaction,Mobile App,neutral,saya ingin informasi tentang produk tabungan,2,0.16840665324179388,1,Medium
